"q0.025","median","q0.975","observed","fit","cov_nonoise","cov_nonoise_is","cov_nonoise_oos","cov_noise","cov_noise_is","cov_noise_oos","aggr_in_ci"
93.8311958365996,144.153444840579,193.265680146745,140.56078515116,145.929079696046,0.784,0.785,0.78,0.976,0.985,0.94,1
646.685807004164,699.346185291195,754.870911393068,703.092174600197,701.979366767087,0.812,0.815,0.8,0.984,0.99,0.96,1
303.919622136638,351.294051823488,396.790506395455,346.644552385028,348.620560959878,0.808,0.825,0.74,0.968,0.985,0.9,1
612.289355253168,654.928213993606,697.539018182967,657.144536652816,654.543671087338,0.872,0.925,0.66,0.98,1,0.9,1
741.295287490749,786.694791962179,831.848607887739,775.090806963202,783.563838077054,0.8,0.835,0.66,0.972,0.995,0.88,1
373.833959109449,420.844307906921,468.764215872331,431.157932891273,421.932942339421,0.808,0.815,0.78,0.992,0.995,0.98,1
373.023470608452,420.544314553721,460.919743661461,418.32257908289,415.493797941965,0.82,0.84,0.74,0.976,0.995,0.9,1
399.081605670047,445.923226580204,498.387891576894,453.845901509351,449.516349161254,0.78,0.805,0.68,0.992,0.995,0.98,1
531.295503202603,578.161279330442,622.802984011775,581.370210065233,575.238318854647,0.828,0.845,0.76,0.988,0.995,0.96,1
577.999441056811,632.317383491915,687.365803011106,628.72000000426,632.639895527279,0.74,0.765,0.64,0.988,0.995,0.96,1
284.532131407548,334.291313120486,377.404775242684,334.485446322085,331.736164702671,0.756,0.74,0.82,0.992,0.995,0.98,1
415.3395353966,467.358787650074,517.767734296482,458.047049914184,472.209802139011,0.74,0.755,0.68,0.976,0.985,0.94,1
295.409695570597,342.55816171531,393.058446716435,340.2238254184,344.700773482068,0.812,0.795,0.88,0.988,0.995,0.96,1
325.078453366984,370.145149016338,419.126785047989,367.100861470421,366.014047699721,0.848,0.875,0.74,0.988,0.995,0.96,1
413.269307116824,465.681822766218,510.37632288802,444.303558033554,468.492953709127,0.808,0.825,0.74,0.98,0.985,0.96,1
421.69777491724,472.023451612174,521.889652706,465.137146298311,472.588163489444,0.712,0.725,0.66,0.976,0.985,0.94,1
20.4166790642651,66.5150540775007,114.930812260783,58.450769532939,66.4162190780682,0.812,0.83,0.74,0.984,0.995,0.94,1
923.603690250018,969.914229957051,1014.41091863158,971.983847662181,968.258260052104,0.816,0.85,0.68,0.984,1,0.92,1
610.216705227639,655.854679082119,708.108403485149,649.154551844382,658.99861740804,0.816,0.81,0.84,0.98,0.995,0.92,1
316.226240903088,370.843295411397,418.719513952809,365.953118970262,370.355423899608,0.764,0.78,0.7,0.984,0.995,0.94,1
645.812713377359,697.164045643563,745.121009945768,703.28201645577,695.411836408569,0.792,0.8,0.76,0.98,0.995,0.92,1
722.995431818892,771.358304319629,821.63073907619,767.798149375555,774.563435228961,0.844,0.845,0.84,0.984,0.985,0.98,1
208.674644299329,262.528960040219,311.442846939939,270.565574256177,264.828942405978,0.756,0.76,0.74,0.968,0.985,0.9,1
962.07680785711,1005.8687504034,1046.08740291459,1000.70738885909,1002.63533230751,0.796,0.81,0.74,0.992,1,0.96,1
666.218274161936,721.971537593951,773.057299123488,719.368837970578,721.898710546176,0.836,0.825,0.88,0.988,0.995,0.96,1
120.693001675363,165.43979630908,215.594273959815,162.834867892348,168.705009031685,0.844,0.865,0.76,0.98,0.995,0.92,1
501.989317559576,543.415139431048,585.070351145008,534.852833961009,543.123525706569,0.852,0.86,0.82,0.992,0.995,0.98,1
698.193581954783,742.026968077086,786.873796172787,747.80860836316,744.856455968408,0.788,0.82,0.66,0.98,0.99,0.94,1
516.595218381864,557.220017510491,599.339370939975,556.16755111033,560.649736124725,0.804,0.82,0.74,0.98,1,0.9,1
234.309380876051,287.949078354979,340.081617299542,274.68830329411,288.381672594563,0.704,0.71,0.68,0.972,0.975,0.96,1
343.495078194077,394.42461606506,443.985014590459,392.65395151645,394.674542374697,0.728,0.765,0.58,0.988,0.995,0.96,1
-52.5627408700489,1.41582370157417,55.727076524371,-1.62216812254933,2.80391225792576,0.764,0.79,0.66,0.992,0.995,0.98,1
94.5042396333945,141.938613308216,189.353854104222,150.323423515284,141.711537607244,0.76,0.78,0.68,0.984,0.985,0.98,1
398.197038277055,446.666541509635,495.370352966752,458.121799256484,447.76323955841,0.776,0.8,0.68,0.98,0.99,0.94,1
413.559010652761,461.281663114296,510.858892802384,446.557562970068,460.188440905376,0.796,0.82,0.7,0.992,0.995,0.98,1
11.9257725927544,58.8048214687164,105.349817667716,68.1094573242094,59.6175130523125,0.844,0.86,0.78,0.988,1,0.94,1
914.73317428753,965.12347410836,1020.50712967393,945.685631900564,962.733525882882,0.78,0.785,0.76,0.988,0.995,0.96,1
701.50951298593,750.747785875927,798.323480393682,758.293052818706,751.567776228106,0.752,0.76,0.72,0.988,0.995,0.96,1
615.350180115822,667.512370651543,724.143871597764,665.977180903122,668.7294023965,0.84,0.84,0.84,0.992,1,0.96,1
615.780364410554,656.625330396271,699.713430620315,649.977455968486,659.066489456556,0.856,0.895,0.7,0.992,1,0.96,1
35.5824802319583,81.2474948532474,127.303042481196,84.3547333218775,82.014443966007,0.808,0.85,0.64,0.992,0.995,0.98,1
-4.23432954316998,41.6562999156101,92.7531070513504,42.2483735725414,44.9895548234594,0.772,0.795,0.68,0.976,0.985,0.94,1
639.070126723536,683.637098636973,730.594828932301,678.790535105098,685.595594003723,0.692,0.71,0.62,0.968,0.99,0.88,1
254.303291603187,296.444801724791,340.167708541843,303.094156297475,296.202609042267,0.812,0.84,0.7,0.988,1,0.94,1
817.579404273531,864.64953069281,910.387125710815,871.611957619018,864.608153516235,0.824,0.845,0.74,0.98,0.985,0.96,1
474.967403301929,521.404939782014,566.497584431257,523.771677257772,522.451671608321,0.824,0.845,0.74,0.972,0.985,0.92,1
193.807183736107,241.191875263753,288.791358056608,235.193586758244,242.424881293874,0.736,0.755,0.66,0.976,0.99,0.92,1
513.685773506252,557.438933714519,600.90236564648,557.250171603191,555.522057379446,0.864,0.88,0.8,0.98,1,0.9,1
165.451268581456,213.054971138555,258.850146960269,232.090531745265,211.832230788808,0.796,0.8,0.78,0.988,0.995,0.96,1
209.992760789565,252.923413829718,298.438165038074,251.83437886303,251.358564595885,0.832,0.875,0.66,0.98,0.99,0.94,1
23.090234920909,67.9839677199999,111.919877529284,70.3637672522182,69.1753463088071,0.84,0.865,0.74,0.988,1,0.94,1
